Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
,надевать,tətu-,"<ES, P; P>",tətu-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,находить (потерянное),baogo-,<ES; —>,baogo-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,находить (новое),bā-,<ES; —>,bā-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,начинать1,dəru-,"<ES, P; P>",dəru-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,начинать2,təpčiu-,"<ES, P; P>",təpčiu-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,объяснять,alose-,<ES; P>,alose-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,опухать,xaolo-,<ES; S>,xaolo-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,оставаться ,dərəǯi- / dərəǯigu-,<ES; —>,dərəǯi-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,оставаться ,dərəǯi- / dərəǯigu-,<ES; —>,dərəǯigu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,открывать,nixəli-,<ES; P>,nixəli-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,отрывать1,gudəli- / gudəči-,<ES; P>,gudəli-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,отрывать1,gudəli- / gudəči-,<ES; P>,gudəči-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,отрывать2,xətuli- / xətuči-,<ES; P>,xətuli-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,отрывать2,xətuli- / xətuči-,<ES; P>,xətuči-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,падать,tū- / tūlsi-,<Q; MP>,tū-,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],найхинский говор
,падать,tū- / tūlsi-,<Q; MP>,tūlsi-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,пахать,anǯala-,"<ES, P; P>",anǯala-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,петь,ǯare-,"<ES, P; P>",ǯare-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,пилить,pō-,"<ES, P; P>",pō-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,писать,niru-,<ES; P>,niru-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,плакать,soŋgo-,<P; P>,soŋgo-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
