Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
"LIE DOWN, LIE (REST)","215, 1411","лежать, ложиться",zat,"<ES, P, S; P, S>",zat,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
FLY (MOVE THROUGH AIR),1441,"лететь, летать",uc,"<EP, P; P>",uc,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,лизать,zala,"<ES, MP; MP>",zala,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
POUR,1487,"лить, переливать",quj,"<ES, P; P>",quj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"CATCH, KEEP","702, 1477","ловить, держать",tut,"<ES, P, S; P, S>",tut,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
BREAK (BREAKING),3020,ломаться,sɨn,<ES; P>,sɨn,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LOVE,923,любить,süj,"<ES, S; S>",süj,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
WAVE (VERB),3544,махать,bulʁa,"<ES, MP; MP>",bulʁa,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
,,"мерзнуть, замерзать",buzla,"<ES, P, S; P, S>",buzla,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
TORTURE,1952,мучить,qɨjna,<P; P>,qɨjna,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
TORTURE,1952,мучить,qɨjɨna,<P; P>,qɨjɨna,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
WASH,1453,мыть,zuw,"<ES, P; P>",zuw,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
WASH,1453,мыть,zuu,"<ES, P; P>",zuu,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
,,мяукать,maqɨr,"<EP, P; P>",maqɨr,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PUT ON,158,надевать,kij,<ES; P>,kij,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
HOPE,1092,надеяться,ɨšan,"<ES, S; S>",ɨšan,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
FIND,719,"найти, находить",izle / tap,"<ES P, P>",tap,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,[Татевосов 2005],,
,,наполняться,tol,"<ES, P; P>",tol,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LIKE,1117,нравиться,büsüre,"<ES, S; S>",büsüre,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
SNIFF,375,нюхать,ijiske,"<ES, P; P>",ijiske,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SWELL,1573,"опухать, подходить (о тесте)",köp,"<ES, P; P>",köp,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
REMAIN,987,оставаться,qal,"<ES, S; P>",qal,"<ES, S; P>",0,1,0,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
